id,Q1,Q2,Q3,Q4,Q5,Q6
abs08411,0,"0,5",2,0,0,0
abs01829,0,"2,3,4",2,"14,18,22,27",0,0
abs05468,1,"4,7",2,0,1,1
abs19527,0,"4,7",2,"3,8,12,15,16,22,26,27",1,1
abs08765,1,"3,7",2,0,1,1
abs16316,0,0,2,0,0,0
abs14649,1,"5,7",2,0,0,0
abs01181,1,"4,5,6",2,0,0,0
abs17530,1,2,2,0,1,1
abs05158,1,"3,7",2,0,0,0
abs11562,1,"5,6,7",2,0,0,0
abs10310,0,"6,7",2,0,1,1
abs07503,1,"4,7",2,0,0,0
abs12596,0,"0,6",0,33,0,0
abs02134,0,"3,5,7",1,0,1,1
abs06971,1,"4,6",2,"16,26,40",1,1
abs20359,0,0,2,0,1,1
abs19280,1,"1,2,4,5,6,7",2,"14,22,26,33,39,40",0,0
abs09432,0,"5,7",1,0,0,0
abs09682,1,"4,5,6,7",2,0,0,0
abs16582,1,"4,6,7",1,0,1,1
abs07968,0,"4,7",2,0,0,0
abs16843,1,"4,5",2,0,0,0
abs01869,0,6,0,0,0,0
abs21523,0,0,2,0,0,0
abs10970,1,"4,5,6,7",2,"14,18,21,24,27,30,34",1,1
abs11993,0,6,2,0,0,0
abs15698,1,"3,4,5,6",2,0,0,0
abs03383,1,"3,6,7",2,0,1,1
abs04978,0,"5,7",1,0,0,0
abs16463,1,"4,5,6",2,0,0,0
abs19049,1,2,2,0,1,1
abs00082,0,"0,6,7",1,0,1,1
abs18762,1,"4,7",2,0,1,1
abs19997,1,3,2,0,1,1
abs03738,1,"4,5,6",2,0,1,1
abs16097,1,7,2,0,0,0
abs05627,1,"4,7",2,0,1,1
abs06799,0,2,2,"16,22,26,34",1,1
abs17720,0,0,0,0,0,0
abs20832,0,"0,2,3,5,6,7",2,0,0,0
abs09983,0,2,1,0,1,1
abs17884,0,4,2,"8,17,22",0,0
abs14413,0,0,2,0,1,1
abs01585,1,"3,7",2,0,1,1
abs12227,0,5,1,0,0,0
abs16792,1,"4,5,6",2,0,0,0
abs12879,1,"4,6",2,0,1,1
abs16400,0,0,0,0,0,0
abs13074,1,"4,5,6",2,0,1,1
abs07321,1,"4,5,7",2,0,0,0
abs21735,1,"2,7",2,"15,22,27,30,34",0,0
abs02133,0,"1,2,3",2,"3,14,21,24,26,27,30,34,35,36,37,39",1,1
abs05356,1,"5,6",2,0,1,1
abs03148,0,"3,7",2,0,1,1
abs15836,1,"1,2,6,7",2,24,1,1
abs16287,0,"0,5,6",0,0,0,0
abs10940,1,"4,5,6,7",1,0,0,0
abs12248,0,"5,6",2,0,0,0
abs10076,0,"0,6",0,0,0,0
abs08743,1,"4,5,6,7",1,0,0,0
abs10297,0,0,2,0,1,1
abs04291,0,"2,6",2,0,0,0
abs00864,0,6,2,0,0,0
abs06441,0,"1,2,3,5,6",2,"3,13,20,22",1,1
abs19892,1,"1,2,3,5,6",2,"13,18,22,26,27,32,33,34",1,1
abs02890,0,2,2,0,1,1
